"NRSA_ID","MMI_BENT","BENT_MMI_COND","AGGR_ECO9_2015","STATE","ALB_X","ALB_Y","LON_DD83","LAT_DD83","YEAR","DATE_COL"
"FW08AL001",29.58,"Poor","SAP","AL",842524.867666719,1168653.67810696,-86.8881569446,33.2234153863,2009,"15Jun2009"
"FW08AL002",22.75,"Poor","SAP","AL",850717.320736525,1192050.50918418,-86.7756235789,33.4249179982,2009,"26Jun2009"
"FW08AL003",34.25,"Poor","CPL","AL",840644.806548795,995227.718635113,-87.0838133469,31.6766356078,2009,"13Aug2009"
"FW08AL004",49.65,"Good","SAP","AL",887177.119246979,1245959.91504079,-86.3236283676,33.8727306375,2009,"01Jul2009"
"FW08AL006",24.4,"Poor","SAP","AL",893620.171885748,1147963.5138704,-86.3618639019,32.9938691275,2009,"27Jun2009"
"FW08AL007",25.68,"Poor","SAP","AL",755733.242975685,1258108.83834981,-87.7379619301,34.0918046803,2009,"19Jul2009"
"FW08AL008",39.48,"Fair","SAP","AL",939822.28281573,1240937.0164801,-85.7596263615,33.7787396068,2009,"03Jul2009"
"FW08AL009",35.5,"Fair","SAP","AL",817402.982335959,1181378.76290653,-87.1454714299,33.3581166777,2009,"25Jun2009"
"FW08AL011",27.72,"Poor","SAP","AL",941963.581341142,1346552.59086934,-85.6111694073,34.7158619165,2009,"09Jun2009"
"FW08AL012",13.65,"Poor","SAP","AL",810166.855541261,1359521.858199,-87.0420279967,34.950921774,2009,"07Jun2009"
"FW08AL013",47.65,"Good","SAP","AL",969611.772825722,1185934.29209851,-85.5035713713,33.2601498251,2009,"16Jul2009"
"FW08AL014",80.53,"Good","CPL","AL",958995.059769447,1097864.77330171,-85.720314953,32.4859421767,2009,"22Jul2009"
"FW08AL015",76.57,"Good","CPL","AL",846989.108093598,929898.540503784,-87.0817517199,31.0868632678,2009,"15Aug2009"
"FW08AL016",35.87,"Fair","SAP","AL",747692.405122112,1325114.61779829,-87.7620873765,34.6950583546,2009,"12Jun2009"
"FW08AL018",28.28,"Poor","SAP","AL",894259.703534117,1141124.06269024,-86.3624686857,32.9323161068,2009,"28Jun2009"
"FW08AL019",22.4,"Poor","CPL","AL",786170.599769759,1128724.53553163,-87.5326477057,32.913830141,2009,"16Jun2009"
"FW08AL020",54.8,"Good","SAP","AL",853029.719546832,1190917.73847628,-86.7518994289,33.4128126746,2009,"08Jul2009"
"FW08AL021",69.98,"Good","CPL","AL",983240.190908495,972522.325418873,-85.6088131194,31.3438086142,2009,"12Aug2009"
"FW08AL022",46.08,"Fair","CPL","AL",749474.591995173,988320.137643375,-88.0521331098,31.6873965212,2009,"15Aug2009"
"FW08AL023",63.62,"Good","CPL","AL",842499.477267551,1049383.61051023,-87.0100826315,32.1590456075,2009,"13Aug2009"
"FW08AL024",30.82,"Fair","SAP","AL",847600.148837417,1256721.75206908,-86.7411054328,34.0037812827,2009,"15Jul2009"
"FW08AL025",32.78,"Poor","CPL","AL",1029648.13336136,1099912.45534631,-84.9669874624,32.433288853,2009,"23Jul2009"
"FW08AL026",40.6,"Poor","CPL","AL",768087.045274727,935332.309134171,-87.9034605265,31.1989281552,2009,"24Jul2009"
"FW08AL027",22.25,"Poor","CPL","AL",794410.69606307,1041055.64194488,-87.5283180524,32.1242205681,2009,"16Aug2009"
"FW08AL028",3.7,"Poor","SAP","AL",808783.508380734,1354638.58476547,-87.0622965175,34.9086292212,2009,"06Jun2009"
"FW08AL029",43.68,"Fair","SAP","AL",966024.190170299,1226418.90201711,-85.4938387699,33.6240050263,2009,"11Jul2009"
"FW08AL030",37.4,"Poor","CPL","AL",962149.729556201,1028939.72013212,-85.7660150744,31.8680651323,2009,"11Aug2009"
"FW08AL031",59.12,"Good","SAP","AL",830146.159070248,1160175.83799675,-87.0298599907,33.1583489239,2009,"07Jul2009"
"FW08AL032",69.08,"Good","CPL","AL",723343.728309478,1301965.84806316,-88.0503670334,34.5073437534,2009,"11Jun2009"
"FW08AL033",3.83,"Poor","SAP","AL",905733.382802472,1238822.85861443,-86.1307302106,33.7921442191,2009,"30Jun2009"
"FW08AL034",20.48,"Poor","CPL","AL",720095.981140539,942660.532436934,-88.4009558661,31.3001468611,2009,"25Jul2009"
"FW08AL035",18.35,"Poor","CPL","AL",785562.628634771,1165570.79836579,-87.5037758242,33.2431203595,2009,"14Jul2009"
"FW08AL036",45.82,"Fair","CPL","AL",752135.724139158,1230803.04067187,-87.80278113,33.8511661975,2009,"18Jul2009"
"FW08AL046",24.15,"Poor","SAP","AL",989478.121568903,1157303.81966157,-85.3249710542,32.9854620224,2009,"24Jul2009"
"FW08AL047",55.37,"Good","CPL","AL",816546.879020758,1137827.36766725,-87.1982608034,32.9703677702,2009,"14Aug2009"
"FW08AL051",52.37,"Fair","CPL","AL",851907.605095645,1053247.51205229,-86.9063677566,32.1855382732,2009,"16Aug2009"
"FW08AR001",48.4,"Fair","CPL","AR",494823.815447343,1465552.37575379,-90.4500669033,36.1103863091,2009,"23Jun2009"
